5.9756,5.8398,6.0126,6.0509,5.9963,5.9585,5.8379,6.1444,6.2139,6.0854
6.1754,6.1483,6.1059,6.0843,5.9859,6.1361,6.1651,6.1484,6.1334,6.0166
6.2761,6.3318,6.175,6.1348,5.9989,6.0186,6.2648,6.1778,5.9455,6.0759
5.9733,6.1707,6.0153,6.0636,6.4994,5.9457,6.187,6.2429,6.3394,6.1395
6.0865,6.0851,6.5318,6.2595,6.2269,6.2842,6.1535,6.0465,6.2767,6.0638
6.1478,6.0231,6.1313,6.0107,6.0587,6.2211,6.0052,6.2661,6.3073,6.2616
6.2082,6.4398,6.3429,6.0953,6.4671,6.2008,6.1664,6.033,6.2661,6.1755
6.1105,6.2372,6.3767,6.5352,6.3775,6.2428,6.1518,6.2723,6.3078,6.1092
6.3797,6.2381,6.2723,6.2963,6.3638,6.4035,6.1576,6.1232,6.4236,6.1563
6.2659,6.2702,6.324,6.2466,6.4792,6.2078,6.0141,6.2861,6.4712,6.3044
