1.124,1.1575,1.4148,1.1357,1.1418,1.1527,1.1477,1.2991,1.3936,1.1727
1.0581,1.2833,1.3011,1.2179,1.0856,1.2846,1.3096,1.2915,1.1565,1.2695
1.3016,1.0274,1.0323,1.3391,1.3526,1.1309,1.1746,1.2966,1.1678,1.0588
1.0924,1.0997,1.1074,0.89832,1.2585,1.1815,1.1257,1.372,1.1746,1.0772
1.1593,1.1436,1.1593,1.2123,1.0011,1.1834,1.1984,1.1784,1.2702,1.2381
1.1357,1.1387,1.2943,1.3137,1.169,1.1348,1.1329,1.2457,1.2505,1.289
0.87158,1.1272,1.2524,1.1999,1.2784,1.1896,1.2395,1.2468,1.1417,1.3061
1.2584,1.2094,1.1185,1.0126,1.2623,1.2312,1.1979,1.1669,1.044,0.9869
1.1212,0.9491,1.1575,1.266,1.1539,1.2391,1.074,1.3352,1.0592,1.1665
0.91528,0.87996,1.2552,1.146,1.0412,1.0983,1.0003,1.2415,1.047,1.0825
